id,level0_status,original_grade,coherence,factuality,heuristic_valid,confidence_score,risk_level,processing_time_ms,num_issues,priority_score,word_count,total_entities,suspicious_entities,fact_check_candidates_count,needs_fact_check,detected_issues
0_adaptive,validated,A,0.76,0.9026752710342408,True,1.0,low,60.08434295654297,1,0.0,85,2,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.16
1_adaptive,validated,A,0.78,1.0,True,1.0,low,32.59468078613281,1,0.0,66,4,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.15
2_adaptive,validated,A+,0.956,1.0,True,1.0,low,31.714916229248047,1,0.0,42,1,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.21
3_adaptive,validated,A,0.876,0.9034748077392578,True,1.0,low,52.78944969177246,1,0.0,70,3,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.16
4_adaptive,validated,A+,0.936,0.9999998807907104,True,1.0,low,53.42841148376465,2,0.0,51,4,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.18; Densité entités suspecte: Densité d'entités faible: 2.0% (1/51)
5_adaptive,validated,A+,0.936,0.9607664942741394,True,1.0,low,56.23984336853027,1,0.0,51,3,0,0,0.0,Densité entités suspecte: Densité d'entités faible: 2.0% (1/51)
6_adaptive,validated,A,0.826,0.8889455795288086,True,1.0,low,88.57154846191406,4,0.0,101,9,0,3,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.24; Complexité suspecte: Phrases très longues: 33.7 mots/phrase; Complexité suspecte: Absence de connecteurs logiques dans un texte long; Métrique suspecte: Factualité en dessous de la moyenne: 0.889
7_adaptive,validated,A,0.826,0.997988224029541,True,1.0,low,87.63980865478516,3,0.0,92,4,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.17; Complexité suspecte: Phrases très longues: 30.7 mots/phrase; Densité entités suspecte: Densité d'entités faible: 0.0% (0/92)
8_adaptive,validated,A,1.0,0.9999900460243224,True,1.0,low,71.08902931213379,1,0.0,72,9,0,0,0.0,Complexité suspecte: Phrases très longues: 72.0 mots/phrase
9_adaptive,validated,D,0.0960426330566406,0.7991381883621216,True,0.27,medium,37.05549240112305,4,0.91,28,5,0,3,0.9,Anomalie statistique: Ratio ponctuation élevé: 0.25; Métrique suspecte: Cohérence très faible: 0.096; Métrique suspecte: Factualité en dessous de la moyenne: 0.799; Métrique suspecte: Grade de qualité D (problématique)
10_adaptive,validated,A+,0.8859999999999999,0.99607253074646,True,1.0,low,30.48992156982422,1,0.0,27,3,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.26
11_adaptive,validated,A+,0.916,0.9422397017478944,True,1.0,low,56.327104568481445,2,0.0,62,1,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.23; Densité entités suspecte: Densité d'entités faible: 0.0% (0/62)
12_adaptive,validated,A,1.0,1.0000001192092896,True,1.0,low,20.71666717529297,2,0.0,19,4,0,0,0.0,Anomalie statistique: Résumé très court: 19 mots; Anomalie statistique: Ratio ponctuation élevé: 0.32
13_adaptive,validated,D,0.3385048985481262,0.994139850139618,True,0.30000000000000004,low,35.68220138549805,4,0.78,58,5,0,2,0.4,Anomalie statistique: Ratio ponctuation élevé: 0.21; Métrique suspecte: Cohérence faible: 0.339; Métrique suspecte: Grade de qualité D (problématique); Métrique suspecte: Corrélation suspecte: cohérence faible (0.339) mais factualité élevée (0.994)
14_adaptive,validated,A,1.0,1.0,True,1.0,low,7.767438888549805,1,0.0,24,0,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.17
15_adaptive,validated,A+,0.916,1.0,True,1.0,low,36.63349151611328,0,0.0,40,2,0,0,0.0,
16_adaptive,validated,B+,1.0,0.989346444606781,True,1.0,low,31.375885009765625,1,0.0,30,0,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.23
17_adaptive,validated,B+,1.0,0.8219472169876099,True,0.9200000000000002,low,27.871131896972656,3,0.07999999999999985,33,1,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.21; Complexité suspecte: Phrases très longues: 33.0 mots/phrase; Métrique suspecte: Factualité en dessous de la moyenne: 0.822
18_adaptive,validated,A,0.796,0.9675357937812804,True,1.0,low,63.263893127441406,1,0.0,96,5,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.18
19_adaptive,validated,A+,0.956,0.9974556565284728,True,1.0,low,19.092559814453125,1,0.0,37,2,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.22
20_adaptive,validated,A,0.866,0.876602828502655,True,1.0,low,46.67329788208008,2,0.0,93,5,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.15; Métrique suspecte: Factualité en dessous de la moyenne: 0.877
21_adaptive,validated,A+,0.956,0.960360825061798,True,1.0,low,32.07659721374512,1,0.0,37,4,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.27
22_adaptive,validated,B,1.0,0.5475156903266907,True,0.52,low,45.032501220703125,4,0.54,55,4,0,2,0.3,Complexité suspecte: Phrases très longues: 55.0 mots/phrase; Métrique suspecte: Factualité faible: 0.548; Métrique suspecte: Grade de qualité B (moyen); Métrique suspecte: Corrélation inversée: factualité faible (0.548) mais cohérence élevée (1.000)
23_adaptive,validated,D,0.097365864767478,0.961173951625824,True,0.23999999999999996,medium,17.338037490844727,4,0.9400000000000001,32,4,0,0,0.9,Anomalie statistique: Ratio ponctuation élevé: 0.19; Métrique suspecte: Cohérence très faible: 0.097; Métrique suspecte: Grade de qualité D (problématique); Métrique suspecte: Corrélation suspecte: cohérence faible (0.097) mais factualité élevée (0.961)
24_adaptive,validated,B+,1.0,0.7335177063941956,True,0.9800000000000001,low,18.48602294921875,2,0.019999999999999907,20,2,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.25; Métrique suspecte: Factualité en dessous de la moyenne: 0.734
25_adaptive,validated,B+,1.0,0.9066699743270874,True,1.0,low,30.15589714050293,0,0.0,30,3,0,0,0.0,
26_adaptive,validated,B+,1.0,0.8033843040466309,True,1.0,low,22.39990234375,1,0.0,30,1,0,1,0.0,Métrique suspecte: Factualité en dessous de la moyenne: 0.803
27_adaptive,validated,A,0.916,0.9241381287574768,True,1.0,low,47.32108116149902,1,0.0,72,4,0,1,0.0,Densité entités suspecte: Densité d'entités faible: 1.4% (1/72)
28_adaptive,validated,B,1.0,0.5902926325798035,True,0.3600000000000001,low,16.938447952270508,5,0.7,16,1,0,0,0.3,Anomalie statistique: Résumé très court: 16 mots; Anomalie statistique: Ratio ponctuation élevé: 0.50; Métrique suspecte: Factualité faible: 0.590; Métrique suspecte: Grade de qualité B (moyen); Métrique suspecte: Corrélation inversée: factualité faible (0.590) mais cohérence élevée (1.000)
29_adaptive,validated,B+,1.0,0.9101421236991882,True,1.0,low,36.38577461242676,1,0.0,40,1,0,1,0.0,Complexité suspecte: Phrases très longues: 40.0 mots/phrase
30_adaptive,validated,A,0.876,0.9523348808288574,True,1.0,low,47.461509704589844,2,0.0,78,3,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.19; Densité entités suspecte: Densité d'entités faible: 1.3% (1/78)
31_adaptive,validated,A,1.0,1.0,True,1.0,low,30.698299407958984,1,0.0,23,2,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.22
32_adaptive,validated,B+,1.0,0.7923498749732971,True,0.9200000000000002,low,34.563541412353516,3,0.07999999999999985,39,4,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.33; Complexité suspecte: Phrases très longues: 39.0 mots/phrase; Métrique suspecte: Factualité en dessous de la moyenne: 0.792
33_adaptive,validated,B+,1.0,0.7148224115371704,True,0.9800000000000001,low,30.263662338256836,2,0.019999999999999907,21,1,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.24; Métrique suspecte: Factualité en dessous de la moyenne: 0.715
34_adaptive,validated,B+,1.0,0.6701154708862305,True,0.87,low,16.75868034362793,2,0.19,23,0,0,0,0.3,Métrique suspecte: Factualité faible: 0.670; Métrique suspecte: Corrélation inversée: factualité faible (0.670) mais cohérence élevée (1.000)
35_adaptive,validated,B+,1.0,0.9168684482574464,True,1.0,low,34.20877456665039,1,0.0,45,4,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.27
36_adaptive,validated,A+,0.936,0.91572242975235,True,1.0,low,31.75067901611328,1,0.0,58,6,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.24
37_adaptive,validated,D,0.0838055736607029,0.4729487299919128,True,0.18000000000000002,medium,19.590377807617188,4,1.0,23,2,0,0,1.0,Anomalie statistique: Ratio ponctuation élevé: 0.30; Métrique suspecte: Cohérence très faible: 0.084; Métrique suspecte: Factualité faible: 0.473; Métrique suspecte: Grade de qualité D (problématique)
38_adaptive,validated,A,0.936,0.7744740843772888,True,1.0,low,32.51338005065918,2,0.0,55,8,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.25; Métrique suspecte: Factualité en dessous de la moyenne: 0.774
39_adaptive,validated,B+,1.0,0.7945106029510498,True,0.9800000000000001,low,26.241064071655273,2,0.019999999999999907,21,4,0,2,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.43; Métrique suspecte: Factualité en dessous de la moyenne: 0.795
40_adaptive,validated,B+,1.0,0.9957470893859864,True,1.0,low,17.772436141967773,1,0.0,29,2,0,1,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.24
41_adaptive,validated,A,0.956,0.7815355062484741,True,1.0,low,33.292293548583984,2,0.0,44,2,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.23; Métrique suspecte: Factualité en dessous de la moyenne: 0.782
42_adaptive,validated,A+,0.926,0.9594295620918274,True,1.0,low,42.05894470214844,2,0.0,51,1,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.22; Densité entités suspecte: Densité d'entités faible: 0.0% (0/51)
43_adaptive,validated,A+,0.956,0.889445424079895,True,1.0,low,32.03392028808594,1,0.0,41,4,0,2,0.0,Métrique suspecte: Factualité en dessous de la moyenne: 0.889
44_adaptive,validated,D,0.226674094429157,0.8344650864601135,True,0.27,medium,16.111135482788086,4,0.91,41,6,0,0,0.9,Anomalie statistique: Ratio ponctuation élevé: 0.20; Métrique suspecte: Cohérence très faible: 0.227; Métrique suspecte: Factualité en dessous de la moyenne: 0.834; Métrique suspecte: Grade de qualité D (problématique)
45_adaptive,validated,A+,0.956,1.0,True,1.0,low,30.5938720703125,0,0.0,42,1,0,0,0.0,
46_adaptive,validated,A,0.866,0.9555639028549194,True,1.0,low,53.68995666503906,3,0.0,103,7,0,0,0.0,Anomalie statistique: Ratio ponctuation élevé: 0.19; Complexité suspecte: Absence de connecteurs logiques dans un texte long; Densité entités suspecte: Densité d'entités faible: 1.0% (1/103)
