title,source,published,language,quality_score_advanced,entities_total,sentence_count,readability_score,text_complexity
"""On n'a fait que du Tetris"" : on vous raconte l'histoire secrète de la cérémonie d'ouverture des Jeux de Paris, un an après",https://www.francetvinfo.fr/titres.rss,2025-07-26T05:00:37,fr,0.7960344827586207,176,58,0.7801724137931034,1.0
"Planète 9, comètes interstellaires et migration dans le Système solaire : que peut nous apprendre l'Observatoire Vera-Rubin ?",https://www.futura-sciences.com/rss/actualites.xml,2025-07-24T19:04:44,fr,0.64,74,19,0.0,1.0
"Paris 2024 : Adidas Arena, Centre aquatique olympique, marina de Marseille... Un an après les Jeux, la promesse de l'héritage des sites pérennes est-elle tenue ?",https://www.francetvinfo.fr/titres.rss,2025-07-26T04:00:02,fr,0.6662068965517242,63,29,0.13103448275862062,1.0
AI Act : un changement de taille attend les géants de l’IA le 2 août prochain : qu’est ce que ça va changer ?,https://www.01net.com/rss/actualites/,2025-07-26T05:45:40,fr,0.6437037037037037,31,27,0.01851851851851849,1.0
"Un an après l'or : blues, bébé ou rebond pour nos champions ?",https://www.france24.com/fr/rss,2025-07-25T14:02:38,fr,0.7246153846153846,70,39,0.423076923076923,1.0
"Les experts douteux du Global fact-checking network, l’organisation russe de vérification",https://www.france24.com/fr/rss,2025-07-25T16:19:26,fr,0.64,76,25,0.0,1.0
"En Indonésie, l’appel à l’aide d’un ex-soldat enrôlé dans l’armée russe enflamme le débat",https://www.france24.com/fr/rss,2025-07-25T17:42:31,fr,0.7189189189189189,50,37,0.39459459459459456,1.0
"Test Asus ProArt P16 : pour la création de contenu sous Windows, il peut remplacer le MacBook Pro",https://www.zdnet.fr/feeds/rss/actualites/https://towardsdatascience.com/feed,2025-07-25T02:07:45,fr,0.6809677419354838,11,31,0.20483870967741935,1.0
Famine à Gaza: Israël annonce autoriser le largage de l’aide par parachutage,https://www.rfi.fr/fr/rss,2025-07-25T18:48:52,fr,0.6835483870967742,36,31,0.217741935483871,1.0
"""La France était belle, je n'avais jamais vu ça de ma vie"", se remémore la première médaillée aux Jeux olympiques de Paris, Shirine Boukli",https://www.francetvinfo.fr/titres.rss,2025-07-26T04:30:02,fr,0.7677551020408163,22,49,0.6387755102040817,1.0
Productivité : trois conseils pour tirer profit de l'IA sur le travail de vos effectifs,https://www.zdnet.fr/feeds/rss/actualites/,2025-07-21T04:07:54,fr,0.6434375,8,32,0.2671875,1.0
"Moins de sexe, plus de harcèlement ? La téléréalité change, les mots qu’on met dessus aussi",https://www.huffingtonpost.fr/feeds/index.xml,2025-07-25T16:14:48,fr,0.7813461538461538,17,52,0.7067307692307693,1.0
"« Il y a un problème avec la justice » : renvoyée en procès pour corruption, Rachida Dati charge violemment les magistrats",https://www.nouvelobs.com/rss.xml,2025-07-23T12:54:09,fr,0.64,51,27,0.0,1.0
Réforme de l'assurance-chômage : cinq questions sur le durcissement des conditions des ruptures conventionnelles envisagé par le gouvernement,https://www.francetvinfo.fr/titres.rss,2025-07-26T04:59:56,fr,0.6786206896551724,28,29,0.19310344827586212,1.0
La Russie part en croisade politique contre un mouvement sataniste imaginaire,https://www.france24.com/fr/rss,2025-07-25T17:18:21,fr,0.7202857142857142,42,35,0.40142857142857147,1.0
La pétition contre la loi Duplomb sur le site de l’Assemblée nationale dépasse les 500 000 signatures… pour rien ?,https://www.nouvelobs.com/rss.xml,2025-07-21T12:00:28,fr,0.6966666666666667,33,33,0.28333333333333344,1.0
"« Contre l’hégémonie culturelle des droites dures, menons une bataille politique et budgétaire »",https://www.nouvelobs.com/rss.xml,2025-07-23T07:00:04,fr,0.64,43,26,0.0,1.0
Pétition contre la loi Duplomb : on a épluché les 386 autres textes soumis à signatures actuellement en ligne sur le site de l’Assemblée nationale,https://www.nouvelobs.com/rss.xml,2025-07-21T14:03:52,fr,0.6407692307692308,26,26,0.0038461538461538325,1.0
