summary_id,tier,is_valid,validation_confidence,grade_score,coherence_score,factuality_score,issues_count,processing_time_ms,justification,original_grade,production_ready,level3_priority_final,source_id,tier_rank
7_confidence_weighted,CRITICAL,False,0.1,0.2,0.3016747270187687,0.8915548324584961,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,2e5d424af642656f,0
8_confidence_weighted,CRITICAL,False,0.1,0.2,0.3286540308094263,0.8446868658065796,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,4545a3e73854234a,0
16_confidence_weighted,CRITICAL,False,0.3470788849680076,0.4,0.4009624769863387,0.8886588215827942,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,9cd674aa7b0d859c,0
17_confidence_weighted,CRITICAL,False,0.2928974306797806,0.4,0.4038974380921965,0.7031623721122742,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,ff43903241bfe43a,0
22_confidence_weighted,CRITICAL,False,0.1,0.2,0.3761467169911884,0.6441677808761597,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,3e6b976943164224,0
29_confidence_weighted,CRITICAL,False,0.3267639348237038,0.4,0.4061306876596452,0.8123286366462708,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,7299a0c0bbc5f318,0
40_confidence_weighted,CRITICAL,False,0.1319044037778352,0.2,0.368569635573859,0.8920652866363525,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,6c14f312a2c75ffb,0
53_confidence_weighted,CRITICAL,False,0.1751214896781104,0.2,0.3992165063108716,0.9850441217422484,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,393cb92c737d9597,0
59_confidence_weighted,CRITICAL,False,0.3473994819812587,0.4,0.409153660236321,0.8760755062103271,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,f13a89625677bcc5,0
71_confidence_weighted,CRITICAL,False,0.3728246117731293,0.4,0.4355597688953796,0.9168157577514648,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,267a43bc1cfca9d7,0
80_confidence_weighted,CRITICAL,False,0.3610046307083066,0.4,0.4502169592849601,0.8529871702194214,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,2e04f86309b1c1a9,0
81_confidence_weighted,CRITICAL,False,0.1040585771169816,0.2,0.3538021975689241,0.8238582611083984,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,e147dddb08ce381c,0
82_confidence_weighted,CRITICAL,False,0.1009886463388564,0.2,0.3776669923275236,0.7738505005836487,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,452bb2019ea76931,0
84_confidence_weighted,CRITICAL,False,0.1195302555099176,0.2,0.3678576153785083,0.8520048260688782,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,ecb41e3235605396,0
118_confidence_weighted,CRITICAL,False,0.3897219284862261,0.4,0.4917889707267245,0.8794248104095459,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,8f6ca28dd2ee370b,0
130_confidence_weighted,CRITICAL,False,0.1,0.2,0.3286540308094263,0.8446868658065796,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,72f5963b314b2205,0
