summary_id,accepted,reason,tier_after,factuality_after,coherence_after,issues_after
22_confidence_weighted,False,topic_after_text_too_low,MODERATE,0.85,0.875,0
133_confidence_weighted,False,topic_after_text_too_low,MODERATE,0.85,0.744,0
73_confidence_weighted,False,topic_after_text_too_low,CRITICAL,0.85,0.397,0
119_confidence_weighted,False,topic_after_text_too_low,MODERATE,0.85,0.713,0
9_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.494,0
171_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.494,0
23_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.592,0
55_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.292,0
166_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.292,0
182_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.592,0
125_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.596,0
127_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.519,0
160_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.407,0
147_adaptive,False,topic_after_text_too_low,MODERATE,0.85,0.6,0
57_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.421,0
77_adaptive,False,topic_after_text_too_low,CRITICAL,0.85,0.471,0
13_adaptive,False,topic_after_text_too_low,MODERATE,0.85,0.858,0
132_adaptive,False,topic_after_text_too_low,MODERATE,0.85,0.858,0
81_confidence_weighted,False,topic_after_before_too_low,GOOD,0.98,0.8,0
84_confidence_weighted,False,topic_after_before_too_low,GOOD,0.98,0.87,0
112_confidence_weighted,False,topic_after_before_too_low,EXCELLENT,0.98,0.981,0
60_confidence_weighted,False,topic_after_before_too_low,GOOD,0.98,0.885,0
70_confidence_weighted,False,topic_after_before_too_low,MODERATE,0.98,0.775,0
108_confidence_weighted,False,topic_after_before_too_low,EXCELLENT,0.98,0.975,0
