summary_id,source_id,strategy,has_text,enough_length,summary_before,tier_before,factuality_before,coherence_before,issues_before,summary_after,hash_after,tier_after,factuality_after,coherence_after,issues_after,model,prompt_version,seed,accepted,reason,l3_mode,mode_reason,lang,processing_status,runtime_ms,notes
7_confidence_weighted,2e5d424af642656f,confidence_weighted,True,True,"Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Loi Duplomb, lutte contre les renouvelables, fin des zones à faibles émissions, coup d’arrêt à la rénovation thermique des bâtiments, lois omnibus européennes pour défaire le « Green Deal »... A lire aussi Les dirigeants politiques de droite et d'extrême droite font aujourd’hui en France et en Europe le choix de singer le président américain Donald Trump en se lançant à leur tour dans une contre-révolution antiécologique. Mais en agissant ainsi, ils se trompent au sujet des aspirations de nos concitoyennes et concitoyens et le paieront probablement cher politiquement Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Loi Duplomb, lutte contre les renouvelables, fin des zones à faibles émissions, coup d’arrêt à la rénovation thermique des bâtiments, lois omnibus européennes pour défaire le « Green Deal »... A lire aussi Les dirigeants politiques de droite et d'extrême droite font aujourd’hui en France et en Europe le choix de singer le président américain Donald Trump en se lançant à leur tour dans une contre-révolution antiécologique. Mais en agissant ainsi, ils se trompent au sujet des aspirations de nos concitoyennes et concitoyens et le paieront probablement cher politiquement Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Loi Duplomb, lutte contre les renouvelables, fin des zones à faibles émissions, coup d’arrêt à la rénovation thermique des bâtiments, lois omnibus européennes pour défaire le « Green Deal »... A lire aussi Les dirigeants politiques de droite et d'extrême droite font aujourd’hui en France et en Europe le choix de singer le président américain Donald Trump en se lançant à leur tour dans une contre-révolution antiécologique. Mais en agissant ainsi, ils se trompent au sujet des aspirations de nos concitoyennes et concitoyens et le paieront probablement cher politiquement Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Loi Duplomb, lutte contre les renouvelables, fin des zones à faibles émissions, coup d’arrêt à la rénovation thermique des bâtiments, lois omnibus européennes pour défaire le « Green Deal »... A lire aussi Les dirigeants politiques de droite et d'extrême droite font aujourd’hui en France et en Europe le choix de singer le président américain Donald Trump en se lançant à leur tour dans une contre-révolution antiécologique. Mais en agissant ainsi, ils se trompent au sujet des aspirations de nos concitoyennes et concitoyens et le paieront probablement cher politiquement Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Loi Duplomb, lutte contre les renouvelables, fin des zones à faibles émissions, coup d’arrêt à la rénovation thermique des bâtiments, lois omnibus européennes pour défaire le « Green Deal »... A lire aussi Les dirigeants politiques de droite et d'extrême droite font aujourd’hui en France et en Europe le choix de singer le président américain Donald Trump en se lançant à leur tour dans une contre-révolution antiécologique. Mais en agissant ainsi, ils se trompent au sujet des aspirations de nos concitoyennes et concitoyens et le paieront probablement cher politiquement La pétition contre la loi Duplomb a dépassé le million de signatures malgré le fait qu'elle avait été lancée en plein mois de juillet. Les Français et les Français, plus largement les Européens, ne sont pas des Américains. Ils vivent dans des pays beaucoup plus densément peuplés que les États-Unis, qui ont subi plus longtemps les effets de pollution. La pétition contre la loi Duplomb a dépassé le million de signatures malgré le fait qu'elle avait été lancée en plein mois de juillet. Les Français et les Français, plus largement les Européens, ne sont pas des Américains. Ils vivent dans des pays beaucoup plus densément peuplés que les États-Unis, qui ont subi plus longtemps les effets de pollution. La pétition contre la loi Duplomb a dépassé le million de signatures malgré le fait qu'elle avait été lancée en plein mois de juillet. Les Français et les Français, plus largement les Européens, ne sont pas des Américains. Ils vivent dans des pays beaucoup plus densément peuplés que les États-Unis, qui ont subi plus longtemps les effets de pollution. La pétition contre la loi Duplomb a dépassé le million de signatures malgré le fait qu'elle avait été lancée en plein mois de juillet. Les Français et les Français, plus largement les Européens, ne sont pas des Américains. Ils vivent dans des pays beaucoup plus densément peuplés que les États-Unis, qui ont subi plus longtemps les effets de pollution. La pétition contre la loi Duplomb a dépassé le million de signatures malgré le fait qu'elle avait été lancée en plein mois de juillet. Les Français et les Français, plus largement les Européens, ne sont pas des Américains. Ils vivent dans des pays beaucoup plus densément peuplés que les États-Unis, qui ont subi plus longtemps les effets de pollution.",CRITICAL,0.8915548324584961,0.3016747270187687,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
8_confidence_weighted,4545a3e73854234a,confidence_weighted,True,True,"OMAR AL- Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner La Défense civile de la bande de Gaza a affirmé dimanche que 57 Palestiniens avaient été tués et des dizaines blessés par des « tirs israéliens » près d’un point de distribution d'aide humanitaire dans la zone de Zikim, au nord du territoire palestinien ravagé par la guerre. OMAR AL- Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner La Défense civile de la bande de Gaza a affirmé dimanche que 57 Palestiniens avaient été tués et des dizaines blessés par des « tirs israéliens » près d’un point de distribution d'aide humanitaire dans la zone de Zikim, au nord du territoire palestinien ravagé par la guerre. OMAR AL- Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner La Défense civile de la bande de Gaza a affirmé dimanche que 57 Palestiniens avaient été tués et des dizaines blessés par des « tirs israéliens » près d’un point de distribution d'aide humanitaire dans la zone de Zikim, au nord du territoire palestinien ravagé par la guerre. OMAR AL- Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner La Défense civile de la bande de Gaza a affirmé dimanche que 57 Palestiniens avaient été tués et des dizaines blessés par des « tirs israéliens » près d’un point de distribution d'aide humanitaire dans la zone de Zikim, au nord du territoire palestinien ravagé par la guerre. OMAR AL- Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner La Défense civile de la bande de Gaza a affirmé dimanche que 57 Palestiniens avaient été tués et des dizaines blessés par des « tirs israéliens » près d’un point de distribution d'aide humanitaire dans la zone de Zikim, au nord du territoire palestinien ravagé par la guerre. 57 Palestiniens tués et des dizaines blessés par des « tirs israéliens » près d'un point de distribution. Des milliers de personnes étaient rassemblées, toutes cherchant à obtenir de la farine », raconte Qassem Abou Khater. Le péon XIV a reçu vendredi un éléphonique du Premier ministre Israélien Benjamin Netanyahu. 57 Palestiniens tués et des dizaines blessés par des « tirs israéliens » près d'un point de distribution. Des milliers de personnes étaient rassemblées, toutes cherchant à obtenir de la farine », raconte Qassem Abou Khater. Le péon XIV a reçu vendredi un éléphonique du Premier ministre Israélien Benjamin Netanyahu. 57 Palestiniens tués et des dizaines blessés par des « tirs israéliens » près d'un point de distribution. Des milliers de personnes étaient rassemblées, toutes cherchant à obtenir de la farine », raconte Qassem Abou Khater. Le péon XIV a reçu vendredi un éléphonique du Premier ministre Israélien Benjamin Netanyahu. 57 Palestiniens tués et des dizaines blessés par des « tirs israéliens » près d'un point de distribution. Des milliers de personnes étaient rassemblées, toutes cherchant à obtenir de la farine », raconte Qassem Abou Khater. Le péon XIV a reçu vendredi un éléphonique du Premier ministre Israélien Benjamin Netanyahu. 57 Palestiniens tués et des dizaines blessés par des « tirs israéliens » près d'un point de distribution. Des milliers de personnes étaient rassemblées, toutes cherchant à obtenir de la farine », raconte Qassem Abou Khater. Le péon XIV a reçu vendredi un éléphonique du Premier ministre Israélien Benjamin Netanyahu.",CRITICAL,0.8446868658065796,0.3286540308094263,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
16_confidence_weighted,9cd674aa7b0d859c,confidence_weighted,True,True,"En effet, nous r, bien qu'actuellement influencé par le réchauffement climatique d'origine anthropique, reste soumis à des forces géologiques puissantes qui opèrent sur des échelles temporelles dépassant largement l'histoire humaine. En effet, nous r, bien qu'actuellement influencé par le réchauffement climatique d'origine anthropique, reste soumis à des forces géologiques puissantes qui opèrent sur des échelles temporelles dépassant largement l'histoire humaine. En effet, nous r, bien qu'actuellement influencé par le réchauffement climatique d'origine anthropique, reste soumis à des forces géologiques puissantes qui opèrent sur des échelles temporelles dépassant largement l'histoire humaine. En effet, nous r, bien qu'actuellement influencé par le réchauffement climatique d'origine anthropique, reste soumis à des forces géologiques puissantes qui opèrent sur des échelles temporelles dépassant largement l'histoire humaine. En effet, nous r, bien qu'actuellement influencé par le réchauffement climatique d'origine anthropique, reste soumis à des forces géologiques puissantes qui opèrent sur des échelles temporelles dépassant largement l'histoire humaine. Une recherche publiée en février 2025 sur la plateforme AGU révèle un autre mécanisme à l'oeuvre sur des échelles de temps plus longues. Entre quinze et six millions d'années, un ralentissement significatif du processus de formation des fonds marins pourrait provoquer une éanique. Les scientifiques ont mesuré une réduction moyenne de 8 % de cette dis, avec un impact particulièrement marqué au niveau des dorsales océaniques. Une recherche publiée en février 2025 sur la plateforme AGU révèle un autre mécanisme à l'oeuvre sur des échelles de temps plus longues. Entre quinze et six millions d'années, un ralentissement significatif du processus de formation des fonds marins pourrait provoquer une éanique. Les scientifiques ont mesuré une réduction moyenne de 8 % de cette dis, avec un impact particulièrement marqué au niveau des dorsales océaniques. Une recherche publiée en février 2025 sur la plateforme AGU révèle un autre mécanisme à l'oeuvre sur des échelles de temps plus longues. Entre quinze et six millions d'années, un ralentissement significatif du processus de formation des fonds marins pourrait provoquer une éanique. Les scientifiques ont mesuré une réduction moyenne de 8 % de cette dis, avec un impact particulièrement marqué au niveau des dorsales océaniques. Une recherche publiée en février 2025 sur la plateforme AGU révèle un autre mécanisme à l'oeuvre sur des échelles de temps plus longues. Entre quinze et six millions d'années, un ralentissement significatif du processus de formation des fonds marins pourrait provoquer une éanique. Les scientifiques ont mesuré une réduction moyenne de 8 % de cette dis, avec un impact particulièrement marqué au niveau des dorsales océaniques. Une recherche publiée en février 2025 sur la plateforme AGU révèle un autre mécanisme à l'oeuvre sur des échelles de temps plus longues. Entre quinze et six millions d'années, un ralentissement significatif du processus de formation des fonds marins pourrait provoquer une éanique. Les scientifiques ont mesuré une réduction moyenne de 8 % de cette dis, avec un impact particulièrement marqué au niveau des dorsales océaniques.",CRITICAL,0.8886588215827942,0.4009624769863387,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,en,unknown,,
17_confidence_weighted,ff43903241bfe43a,confidence_weighted,True,True,"rédaction de l’article à partir d’un point de vue numérique, la démocratie n’est pas moins forte que le mouvement des « gilets jaunes » et on notera que notre démocratie est plus forte. rédaction de l’article à partir d’un point de vue numérique, la démocratie n’est pas moins forte que le mouvement des « gilets jaunes » et on notera que notre démocratie est plus forte. rédaction de l’article à partir d’un point de vue numérique, la démocratie n’est pas moins forte que le mouvement des « gilets jaunes » et on notera que notre démocratie est plus forte. rédaction de l’article à partir d’un point de vue numérique, la démocratie n’est pas moins forte que le mouvement des « gilets jaunes » et on notera que notre démocratie est plus forte. rédaction de l’article à partir d’un point de vue numérique, la démocratie n’est pas moins forte que le mouvement des « gilets jaunes » et on notera que notre démocratie est plus forte. Joseph Pulitzer [1847-1911] est connu pour le prix de journalisme qui porte son nom. On sait moins qu'il fit à son époque ce que Elon Musk a fait avec Twitter [rebé X] : utiliser la propriété d'un média peu régulé au service de ses ambitions politiques et pour propager des rumeurs sur ses opposants politiques. Joseph Pulitzer [1847-1911] est connu pour le prix de journalisme qui porte son nom. On sait moins qu'il fit à son époque ce que Elon Musk a fait avec Twitter [rebé X] : utiliser la propriété d'un média peu régulé au service de ses ambitions politiques et pour propager des rumeurs sur ses opposants politiques. Joseph Pulitzer [1847-1911] est connu pour le prix de journalisme qui porte son nom. On sait moins qu'il fit à son époque ce que Elon Musk a fait avec Twitter [rebé X] : utiliser la propriété d'un média peu régulé au service de ses ambitions politiques et pour propager des rumeurs sur ses opposants politiques. Joseph Pulitzer [1847-1911] est connu pour le prix de journalisme qui porte son nom. On sait moins qu'il fit à son époque ce que Elon Musk a fait avec Twitter [rebé X] : utiliser la propriété d'un média peu régulé au service de ses ambitions politiques et pour propager des rumeurs sur ses opposants politiques. Joseph Pulitzer [1847-1911] est connu pour le prix de journalisme qui porte son nom. On sait moins qu'il fit à son époque ce que Elon Musk a fait avec Twitter [rebé X] : utiliser la propriété d'un média peu régulé au service de ses ambitions politiques et pour propager des rumeurs sur ses opposants politiques.",CRITICAL,0.7031623721122742,0.4038974380921965,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
22_confidence_weighted,3e6b976943164224,confidence_weighted,True,False,"Par Le Nouvel Obs avec é le à 19h32 , mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Par Le Nouvel Obs avec é le à 19h32 , mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Par Le Nouvel Obs avec é le à 19h32 , mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Par Le Nouvel Obs avec é le à 19h32 , mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Par Le Nouvel Obs avec é le à 19h32 , mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés). Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés). Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés). Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés). Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés).",CRITICAL,0.6441677808761597,0.3761467169911884,6,"Par Le Nouvel Obs avec é le à 19h32, mis à jour le 20 juin, le ministère du Logement a annoncé que les aides Ménov’ étaient d’ores et déjà en cours et que l’Etat avait arrêté une liste des dossiers à traiter entre le mois de juin et le début de la fin juin. Les aides Ménov’ vont bien reprendre en septembre, mais de façon plus limitée ès un afflux important de dossiers depuis le début de l’année. L’objectif était de financer 62 000 rénovations globales d’ici 2025 (hors copropriétés).",e558bb40b73fff890020a200b7330786cbc16f9d,MODERATE,0.85,0.875,0.0,edit-baseline,v1,42.0,False,topic_after_text_too_low,edit,cw_critical_no_text,en,rejected,,
29_confidence_weighted,7299a0c0bbc5f318,confidence_weighted,True,True,"Selon le code des bonnes pratiques et les lignes directrices, la Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d’intelligence artificielle : un document très attendu des ayants droit. Selon le code des bonnes pratiques et les lignes directrices, la Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d’intelligence artificielle : un document très attendu des ayants droit. Selon le code des bonnes pratiques et les lignes directrices, la Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d’intelligence artificielle : un document très attendu des ayants droit. Selon le code des bonnes pratiques et les lignes directrices, la Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d’intelligence artificielle : un document très attendu des ayants droit. Selon le code des bonnes pratiques et les lignes directrices, la Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d’intelligence artificielle : un document très attendu des ayants droit. La Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d'intelligence artificielle. Le modèle était très attendu des auteurs, des détenteurs de droits, et des fournisseurs de services génératifs tels que OpenAI (ChatGPT). Depuis le 2 août prochain, la loi sur l'AI devient contraignante pour les développeurs de modèles à portée générale. La Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d'intelligence artificielle. Le modèle était très attendu des auteurs, des détenteurs de droits, et des fournisseurs de services génératifs tels que OpenAI (ChatGPT). Depuis le 2 août prochain, la loi sur l'AI devient contraignante pour les développeurs de modèles à portée générale. La Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d'intelligence artificielle. Le modèle était très attendu des auteurs, des détenteurs de droits, et des fournisseurs de services génératifs tels que OpenAI (ChatGPT). Depuis le 2 août prochain, la loi sur l'AI devient contraignante pour les développeurs de modèles à portée générale. La Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d'intelligence artificielle. Le modèle était très attendu des auteurs, des détenteurs de droits, et des fournisseurs de services génératifs tels que OpenAI (ChatGPT). Depuis le 2 août prochain, la loi sur l'AI devient contraignante pour les développeurs de modèles à portée générale. La Commission européenne a publié ce jeudi 24 juillet son modèle de résumé des sources utilisées pour entraîner le modèle d'intelligence artificielle. Le modèle était très attendu des auteurs, des détenteurs de droits, et des fournisseurs de services génératifs tels que OpenAI (ChatGPT). Depuis le 2 août prochain, la loi sur l'AI devient contraignante pour les développeurs de modèles à portée générale.",CRITICAL,0.8123286366462708,0.4061306876596452,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,en,unknown,,
40_confidence_weighted,6c14f312a2c75ffb,confidence_weighted,True,True,"Il s’agit d’une plateforme réunissant des experts qui se consacrent à exposer les informations non vérifiées"", selon les mots du porte-parole du ministère russe des Affaires étrangères, Maria Zakharova. Il s’agit d’une plateforme réunissant des experts qui se consacrent à exposer les informations non vérifiées"", selon les mots du porte-parole du ministère russe des Affaires étrangères, Maria Zakharova. Il s’agit d’une plateforme réunissant des experts qui se consacrent à exposer les informations non vérifiées"", selon les mots du porte-parole du ministère russe des Affaires étrangères, Maria Zakharova. Il s’agit d’une plateforme réunissant des experts qui se consacrent à exposer les informations non vérifiées"", selon les mots du porte-parole du ministère russe des Affaires étrangères, Maria Zakharova. Il s’agit d’une plateforme réunissant des experts qui se consacrent à exposer les informations non vérifiées"", selon les mots du porte-parole du ministère russe des Affaires étrangères, Maria Zakharova. Le GFCN a été cofondé par l'agence de presse TASS, la New Media School, un programme fédéral de formation des journalistes russes, et une ONG sous sanctions. Il propose par exemple un code du ""fact-checking responsable"" autour de principes tels qu'objectivité, impartialité ou mise en avant de ""données auditées"". Le GFCN a été cofondé par l'agence de presse TASS, la New Media School, un programme fédéral de formation des journalistes russes, et une ONG sous sanctions. Il propose par exemple un code du ""fact-checking responsable"" autour de principes tels qu'objectivité, impartialité ou mise en avant de ""données auditées"". Le GFCN a été cofondé par l'agence de presse TASS, la New Media School, un programme fédéral de formation des journalistes russes, et une ONG sous sanctions. Il propose par exemple un code du ""fact-checking responsable"" autour de principes tels qu'objectivité, impartialité ou mise en avant de ""données auditées"". Le GFCN a été cofondé par l'agence de presse TASS, la New Media School, un programme fédéral de formation des journalistes russes, et une ONG sous sanctions. Il propose par exemple un code du ""fact-checking responsable"" autour de principes tels qu'objectivité, impartialité ou mise en avant de ""données auditées"". Le GFCN a été cofondé par l'agence de presse TASS, la New Media School, un programme fédéral de formation des journalistes russes, et une ONG sous sanctions. Il propose par exemple un code du ""fact-checking responsable"" autour de principes tels qu'objectivité, impartialité ou mise en avant de ""données auditées"".",CRITICAL,0.8920652866363525,0.368569635573859,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,en,unknown,,
53_confidence_weighted,393cb92c737d9597,confidence_weighted,True,True,"Le groupe Meta a annoncé ce vendredi 25 juillet qu'il ne publiera plus de publicité à caractère politique sur ses plateformes dans l'Union européenne. Le groupe Meta a annoncé ce vendredi 25 juillet qu'il ne publiera plus de publicité à caractère politique sur ses plateformes dans l'Union européenne. Le groupe Meta a annoncé ce vendredi 25 juillet qu'il ne publiera plus de publicité à caractère politique sur ses plateformes dans l'Union européenne. Le groupe Meta a annoncé ce vendredi 25 juillet qu'il ne publiera plus de publicité à caractère politique sur ses plateformes dans l'Union européenne. Le groupe Meta a annoncé ce vendredi 25 juillet qu'il ne publiera plus de publicité à caractère politique sur ses plateformes dans l'Union européenne. Le groupe propriétaire de Facebook et Instagram blâme les régulations en place par Bruxelles, trop strictes selon son PDG Mark Zuckerberg. Meta est le deuxième grand groupe de la tech américaine à interdire les publicités politiques dans l'espace européen. Le groupe propriétaire de Facebook et Instagram blâme les régulations en place par Bruxelles, trop strictes selon son PDG Mark Zuckerberg. Meta est le deuxième grand groupe de la tech américaine à interdire les publicités politiques dans l'espace européen. Le groupe propriétaire de Facebook et Instagram blâme les régulations en place par Bruxelles, trop strictes selon son PDG Mark Zuckerberg. Meta est le deuxième grand groupe de la tech américaine à interdire les publicités politiques dans l'espace européen. Le groupe propriétaire de Facebook et Instagram blâme les régulations en place par Bruxelles, trop strictes selon son PDG Mark Zuckerberg. Meta est le deuxième grand groupe de la tech américaine à interdire les publicités politiques dans l'espace européen. Le groupe propriétaire de Facebook et Instagram blâme les régulations en place par Bruxelles, trop strictes selon son PDG Mark Zuckerberg. Meta est le deuxième grand groupe de la tech américaine à interdire les publicités politiques dans l'espace européen.",CRITICAL,0.9850441217422484,0.3992165063108716,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
59_confidence_weighted,f13a89625677bcc5,confidence_weighted,True,True,"Un sondage révèle qu'un Français sur deux ment sur ses vacances pour sauver les yeux d'une partie de sa famille, et que le fait de se dire que nos choix peuvent être jugés, ça peut être perçu comme une forme de mécanisme de protection qui va être plus valorisant pour préserver son image. Un sondage révèle qu'un Français sur deux ment sur ses vacances pour sauver les yeux d'une partie de sa famille, et que le fait de se dire que nos choix peuvent être jugés, ça peut être perçu comme une forme de mécanisme de protection qui va être plus valorisant pour préserver son image. Un sondage révèle qu'un Français sur deux ment sur ses vacances pour sauver les yeux d'une partie de sa famille, et que le fait de se dire que nos choix peuvent être jugés, ça peut être perçu comme une forme de mécanisme de protection qui va être plus valorisant pour préserver son image. Un sondage révèle qu'un Français sur deux ment sur ses vacances pour sauver les yeux d'une partie de sa famille, et que le fait de se dire que nos choix peuvent être jugés, ça peut être perçu comme une forme de mécanisme de protection qui va être plus valorisant pour préserver son image. Un sondage révèle qu'un Français sur deux ment sur ses vacances pour sauver les yeux d'une partie de sa famille, et que le fait de se dire que nos choix peuvent être jugés, ça peut être perçu comme une forme de mécanisme de protection qui va être plus valorisant pour préserver son image. 54% des Français mentent sur leurs vacances ""pour sauver les"", notamment sur la durée, la destination ou l'expérience vécue. Le mensonge devient une forme de mécanisme de protection où le récit va être plus valorisant pour préserver son image. 54% des Français mentent sur leurs vacances ""pour sauver les"", notamment sur la durée, la destination ou l'expérience vécue. Le mensonge devient une forme de mécanisme de protection où le récit va être plus valorisant pour préserver son image. 54% des Français mentent sur leurs vacances ""pour sauver les"", notamment sur la durée, la destination ou l'expérience vécue. Le mensonge devient une forme de mécanisme de protection où le récit va être plus valorisant pour préserver son image. 54% des Français mentent sur leurs vacances ""pour sauver les"", notamment sur la durée, la destination ou l'expérience vécue. Le mensonge devient une forme de mécanisme de protection où le récit va être plus valorisant pour préserver son image. 54% des Français mentent sur leurs vacances ""pour sauver les"", notamment sur la durée, la destination ou l'expérience vécue. Le mensonge devient une forme de mécanisme de protection où le récit va être plus valorisant pour préserver son image.",CRITICAL,0.8760755062103271,0.409153660236321,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
71_confidence_weighted,267a43bc1cfca9d7,confidence_weighted,True,True,"KAY NIETFELD/ Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Le jeudi 6 juin, un gros mois avant qu’Emmanuel Macron n’annonce que la France allait reconnaître un Etat de Palestine en septembre, le ministre des Affaires étrangères, Jean-Nol Barrot ménageait déjà le suspense sur la question de la reconnaissance d’un Etat palestinien. KAY NIETFELD/ Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Le jeudi 6 juin, un gros mois avant qu’Emmanuel Macron n’annonce que la France allait reconnaître un Etat de Palestine en septembre, le ministre des Affaires étrangères, Jean-Nol Barrot ménageait déjà le suspense sur la question de la reconnaissance d’un Etat palestinien. KAY NIETFELD/ Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Le jeudi 6 juin, un gros mois avant qu’Emmanuel Macron n’annonce que la France allait reconnaître un Etat de Palestine en septembre, le ministre des Affaires étrangères, Jean-Nol Barrot ménageait déjà le suspense sur la question de la reconnaissance d’un Etat palestinien. KAY NIETFELD/ Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Le jeudi 6 juin, un gros mois avant qu’Emmanuel Macron n’annonce que la France allait reconnaître un Etat de Palestine en septembre, le ministre des Affaires étrangères, Jean-Nol Barrot ménageait déjà le suspense sur la question de la reconnaissance d’un Etat palestinien. KAY NIETFELD/ Partager Vous souhaitez Facebook Bluesky E-mail Copier le lien Saisir ici votre nom Adresse email des ou du destinataire Votre message S’abonner Le jeudi 6 juin, un gros mois avant qu’Emmanuel Macron n’annonce que la France allait reconnaître un Etat de Palestine en septembre, le ministre des Affaires étrangères, Jean-Nol Barrot ménageait déjà le suspense sur la question de la reconnaissance d’un Etat palestinien. La France est « déterminée » à reconnaître un État palestinien, mais elle ne le fera pas seul. 148 des 193 États membres de l'ONU ont déjà reconnu un territoire de Palestine. Berlin « continue de considérer la reconnaissance d'un Etat de Palästina comme une dernière étoile », déclare le porte-parole du gouvernement. La France est « déterminée » à reconnaître un État palestinien, mais elle ne le fera pas seul. 148 des 193 États membres de l'ONU ont déjà reconnu un territoire de Palestine. Berlin « continue de considérer la reconnaissance d'un Etat de Palästina comme une dernière étoile », déclare le porte-parole du gouvernement. La France est « déterminée » à reconnaître un État palestinien, mais elle ne le fera pas seul. 148 des 193 États membres de l'ONU ont déjà reconnu un territoire de Palestine. Berlin « continue de considérer la reconnaissance d'un Etat de Palästina comme une dernière étoile », déclare le porte-parole du gouvernement. La France est « déterminée » à reconnaître un État palestinien, mais elle ne le fera pas seul. 148 des 193 États membres de l'ONU ont déjà reconnu un territoire de Palestine. Berlin « continue de considérer la reconnaissance d'un Etat de Palästina comme une dernière étoile », déclare le porte-parole du gouvernement. La France est « déterminée » à reconnaître un État palestinien, mais elle ne le fera pas seul. 148 des 193 États membres de l'ONU ont déjà reconnu un territoire de Palestine. Berlin « continue de considérer la reconnaissance d'un Etat de Palästina comme une dernière étoile », déclare le porte-parole du gouvernement.",CRITICAL,0.9168157577514648,0.4355597688953796,6,,,,,,,,,,,,re_summarize,cw_critical_with_text,fr,unknown,,
