level2_id,source_id,article_id,url,title,text,strategy,has_text,enough_length,text_length
1_adaptive,89580b321df35a6a,1,https://www.bbc.com/news/articles/ckgjg81qqwvo,"Almost a third of people in Gaza not eating for days, UN food programme warns","Almost a third of people in Gaza not eating for days, UN food programme warns

2 hours ago Share Save Maia Davies BBC News Share Save

Reuters International concern has risen this week with warnings that starvation has gripped Gaza

Almost one in three people in the Gaza Strip are going for days without eating, the UN's food aid programme has warned. ""Malnutrition is surging with 90,000 women and children in urgent need of treatment,"" the World Food Programme (WFP) said in a statement. Warnings of starvation in Gaza have intensified this week. Nine more people died of malnutrition on Friday, according to the Palestinian territory's Hamas-run health ministry - bringing the total such deaths since the war began to 122. Israel, which controls the entry of all supplies into Gaza, says there is no restriction on aid getting into the territory and blames Hamas for any malnutrition.

On Friday, UK Prime Minister Sir Keir Starmer suggested the UK would play a role in dropping aid into Gaza by air after more than a third of MPs signed a letter calling on the government to recognise a Palestinian state. This came after an Israeli security official had said that airdrops of aid into Gaza could be allowed in the coming days - something aid agencies have previously cautioned is an inefficient way to get supplies into Gaza. ""News that Israel will allow countries to airdrop aid into Gaza has come far too late – but we will do everything we can to get aid in via this route,"" Sir Starmer wrote in The Mirror. Sir Keir also said the UK was ""urgently accelerating efforts"" to evacuate children who need critical medical assistance to the UK for treatment. While local media reported the United Arab Emirates and Jordan would carry out the latest drops, a senior Jordanian official told the BBC that its military was yet to receive permission from Israel to do so. The UN has described the move as a ""distraction to inaction"" by the Israeli government. The move came amid mounting international concern about humanitarian conditions in Gaza. On Friday, Germany, France and the UK called on Israel to ""immediately lift restrictions on the flow of aid"" into the territory. In a joint statement, they called for an immediate end to the ""humanitarian catastrophe that we are witnessing in Gaza,"" and to the war itself, adding that Israel must ""uphold its obligations under international humanitarian law"". ""Withholding essential humanitarian assistance to the civilian population is unacceptable,"" read the statement. The UN Secretary General António Guterres said he could not ""explain the level of indifference and inaction we see by too many in the international community - the lack of compassion, the lack of truth, the lack of humanity"". Addressing the Amnesty International global assembly, he said more than 1,000 Palestinians had been killed while trying to access food since 27 May - when the US and Israeli-backed Gaza Humanitarian Foundation (GHF) began distributing supplies as an alternative to the UN-led system.

'I'm so tired': Mother of starving Gazan baby speaks to BBC

A US security contractor who worked for the GHF in May and June 2025 told the BBC on Friday that he had ""without question… witnessed war crimes"" during that time. Anthony Aguilar said he saw the IDF and US contractors using live ammunition, artillery, mortar rounds, and tank fire on civilians at food distribution sites. The retired soldier said: ""In my entire career, I have never witnessed the level of brutality and use of indiscriminate and unnecessary force against a civilian population until I was in Gaza at the hands of the IDF and US contractors."" In its response, the GHF said the claims - which came from ""a disgruntled former contractor who was terminated for misconduct a month ago"" - were ""categorically false"".

Meanwhile, the future of talks to secure a new ceasefire and hostage-release deal remains uncertain, after the US and Israel withdrew their negotiating teams from Qatar. US President Donald Trump said Hamas ""didn't really want to make a deal"". ""I think they want to die,"" he said. Hamas has expressed surprise about the US remarks. A senior Hamas official also told the BBC's Gaza correspondent that mediators had informed the group negotiations had not collapsed, and said the Israeli delegation was expected to return to Doha next week.",adaptive,True,True,4358
1_confidence_weighted,89580b321df35a6a,1,https://www.bbc.com/news/articles/ckgjg81qqwvo,"Almost a third of people in Gaza not eating for days, UN food programme warns","Almost a third of people in Gaza not eating for days, UN food programme warns

2 hours ago Share Save Maia Davies BBC News Share Save

Reuters International concern has risen this week with warnings that starvation has gripped Gaza

Almost one in three people in the Gaza Strip are going for days without eating, the UN's food aid programme has warned. ""Malnutrition is surging with 90,000 women and children in urgent need of treatment,"" the World Food Programme (WFP) said in a statement. Warnings of starvation in Gaza have intensified this week. Nine more people died of malnutrition on Friday, according to the Palestinian territory's Hamas-run health ministry - bringing the total such deaths since the war began to 122. Israel, which controls the entry of all supplies into Gaza, says there is no restriction on aid getting into the territory and blames Hamas for any malnutrition.

On Friday, UK Prime Minister Sir Keir Starmer suggested the UK would play a role in dropping aid into Gaza by air after more than a third of MPs signed a letter calling on the government to recognise a Palestinian state. This came after an Israeli security official had said that airdrops of aid into Gaza could be allowed in the coming days - something aid agencies have previously cautioned is an inefficient way to get supplies into Gaza. ""News that Israel will allow countries to airdrop aid into Gaza has come far too late – but we will do everything we can to get aid in via this route,"" Sir Starmer wrote in The Mirror. Sir Keir also said the UK was ""urgently accelerating efforts"" to evacuate children who need critical medical assistance to the UK for treatment. While local media reported the United Arab Emirates and Jordan would carry out the latest drops, a senior Jordanian official told the BBC that its military was yet to receive permission from Israel to do so. The UN has described the move as a ""distraction to inaction"" by the Israeli government. The move came amid mounting international concern about humanitarian conditions in Gaza. On Friday, Germany, France and the UK called on Israel to ""immediately lift restrictions on the flow of aid"" into the territory. In a joint statement, they called for an immediate end to the ""humanitarian catastrophe that we are witnessing in Gaza,"" and to the war itself, adding that Israel must ""uphold its obligations under international humanitarian law"". ""Withholding essential humanitarian assistance to the civilian population is unacceptable,"" read the statement. The UN Secretary General António Guterres said he could not ""explain the level of indifference and inaction we see by too many in the international community - the lack of compassion, the lack of truth, the lack of humanity"". Addressing the Amnesty International global assembly, he said more than 1,000 Palestinians had been killed while trying to access food since 27 May - when the US and Israeli-backed Gaza Humanitarian Foundation (GHF) began distributing supplies as an alternative to the UN-led system.

'I'm so tired': Mother of starving Gazan baby speaks to BBC

A US security contractor who worked for the GHF in May and June 2025 told the BBC on Friday that he had ""without question… witnessed war crimes"" during that time. Anthony Aguilar said he saw the IDF and US contractors using live ammunition, artillery, mortar rounds, and tank fire on civilians at food distribution sites. The retired soldier said: ""In my entire career, I have never witnessed the level of brutality and use of indiscriminate and unnecessary force against a civilian population until I was in Gaza at the hands of the IDF and US contractors."" In its response, the GHF said the claims - which came from ""a disgruntled former contractor who was terminated for misconduct a month ago"" - were ""categorically false"".

Meanwhile, the future of talks to secure a new ceasefire and hostage-release deal remains uncertain, after the US and Israel withdrew their negotiating teams from Qatar. US President Donald Trump said Hamas ""didn't really want to make a deal"". ""I think they want to die,"" he said. Hamas has expressed surprise about the US remarks. A senior Hamas official also told the BBC's Gaza correspondent that mediators had informed the group negotiations had not collapsed, and said the Israeli delegation was expected to return to Doha next week.",confidence_weighted,True,True,4358
2_adaptive,36e1a50865a65b52,2,https://www.bbc.com/news/videos/cy8k8045nx9o,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC","A retired US special forces officer has revealed to the BBC why he resigned from his work with US- and Israel-backed Gaza Humanitarian Foundation (GHF) aid distribution centres.

""I witnessed the Israeli Defense Forces shooting at the crowds of Palestinians,"" Anthony Aguilar told the BBC.

He added that in his entire career he has never witnessed such a level of ""brutality and use of indiscriminate and unnecessary force against a civilian population, an unarmed, starving population"".",adaptive,True,True,488
2_confidence_weighted,36e1a50865a65b52,2,https://www.bbc.com/news/videos/cy8k8045nx9o,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC","A retired US special forces officer has revealed to the BBC why he resigned from his work with US- and Israel-backed Gaza Humanitarian Foundation (GHF) aid distribution centres.

""I witnessed the Israeli Defense Forces shooting at the crowds of Palestinians,"" Anthony Aguilar told the BBC.

He added that in his entire career he has never witnessed such a level of ""brutality and use of indiscriminate and unnecessary force against a civilian population, an unarmed, starving population"".",confidence_weighted,True,True,488
3_adaptive,0a555c36f5fbedf6,3,https://www.bbc.com/news/articles/ckg5gz03d8no,Thailand warns clashes with Cambodia could 'move towards war',"Thailand warns clashes with Cambodia could 'move towards war'

Watch: People take shelter after gunfire breaks out between Thailand and Cambodia troops

Cambodia, for its part, accused Thailand of using cluster munitions. Cluster munitions are banned in much of the world because of their indiscriminate effect on civilian populations. Thailand has not responded to the allegations.

Thailand also accused Cambodia of firing into civilian areas and evacuated all villages deemed to be within the radius of its rockets.

Acting Prime Minister Phumtham Wechayachai added that the fighting now included heavy weapons and had spread to 12 locations along the border.

Thailand's leader has warned that clashes between Thailand and Cambodia, which have killed at least 16 people and displaced tens of thousands in both countries, could ""move towards war"".

Thailand said 14 civilians and one soldier were killed in the fighting, while provincial authorities in Cambodia said at least one civilian in Oddar Meanchey was killed.

The comments came as both countries updated the death toll from the fighting.

But Thai foreign ministry spokesman Nikorndej Balankura told Reuters that the situation must be solved through bilateral means, adding that Phnom Penh must stop its offensive moves.

""I welcome the positive signals and willingness shown by both Bangkok and Phnom Penh to consider this path forward,"" Anwar wrote on Facebook late Thursday.

Malaysian Prime Minister Anwar Ibrahim, who chairs the Association of South East Asian Nations, or Asean, had earlier offered to facilitate talks between the two countries.

Meanwhile, Thailand's foreign minister told the Reuters news agency that there was ""no need"" for third-party mediation in the conflict, even as global leaders appealed for an immediate ceasefire.

The US has also called for an ""immediate cessation of hostilities, protection of civilians and a peaceful resolution of the conflict"".

""We are... gravely concerned by the escalating violence along the Thailand Cambodia border, and deeply saddened by reports of harm to civilians,"" State Department spokesman Tommy Pigott said at a regular media briefing.

China, which has political and strategic ties with Cambodia and Thailand, said it is ""deeply concerned"" over the conflict and hopes both sides can resolve issues through dialogue and consultation.

Australia, the European Union and France have also called for peace.

The United Nations Security Council is expected to meet on Friday over the conflict.

In a letter to the council on Thursday, Cambodia's Prime Minister Hun Manet had urged it to intervene to ""stop Thailand's aggression"".

Thailand and Cambodia have each accused the other of firing the first shots on Thursday.

Thailand claims the clash began with Cambodia's military deploying drones to conduct surveillance of Thai troops near the border.

Cambodia says Thai soldiers initiated the conflict when they violated a prior agreement by advancing on a Khmer-Hindu temple near the border.

The dispute between the two countries dates back to more than a hundred years ago, when the borders of the two nations were drawn after the French occupation of Cambodia.

There were sporadic clashes over the years which saw soldiers and civilians killed on both sides.

The latest tensions ramped up in May after a Cambodian soldier was killed in a clash. This plunged bilateral ties to their lowest point in more than a decade.

At a sports complex that was converted into an evacuation centre in Thailand's Surin province, evacuees - many of them children and elderly - said they were still shaken by the rocket and artillery attacks they witnessed on Thursday.

Older evacuees who had lived through bombardments during the Cambodian Civil War of the 1980s told the BBC the recent fighting was the worst they had experienced.

Joi Phasuwan, from the Phanom Dong Rak district, said she and her two grandchildren ""waited a long time"" before they finally got moved to the evacuation centre. They moved farther this time compared to past evacuations, she added.

Elsewhere, a small group of older men huddled around the entrance to a school about 10km (6.2 miles) from the border.

All the houses around them were deserted. The men stayed back to guard their homes and livestock, while all the women and children had been evacuated.

They stayed close to an improvised shelter, constructed last month from sections of concrete pipe and reinforced with sandbags and rows of sand-filled tires.

Artillery boomed across this small village all morning, and the Cambodian rocket attacks on Thursday unnerved the men.

The school was also being used by Thai soldiers, but they did not want to be filmed - nor did they want the school to be identified.

The roads were empty, apart from the occasional military lorry ferrying soldiers. Passing through village after village, there was no-one to be seen.

Life all along this border region has been brought to a halt by a dispute over a few old temples and some insignificant strips of forested land.

Additional reporting by Lulu Luo in Surin",adaptive,True,True,5108
3_confidence_weighted,0a555c36f5fbedf6,3,https://www.bbc.com/news/articles/ckg5gz03d8no,Thailand warns clashes with Cambodia could 'move towards war',"Thailand warns clashes with Cambodia could 'move towards war'

Watch: People take shelter after gunfire breaks out between Thailand and Cambodia troops

Cambodia, for its part, accused Thailand of using cluster munitions. Cluster munitions are banned in much of the world because of their indiscriminate effect on civilian populations. Thailand has not responded to the allegations.

Thailand also accused Cambodia of firing into civilian areas and evacuated all villages deemed to be within the radius of its rockets.

Acting Prime Minister Phumtham Wechayachai added that the fighting now included heavy weapons and had spread to 12 locations along the border.

Thailand's leader has warned that clashes between Thailand and Cambodia, which have killed at least 16 people and displaced tens of thousands in both countries, could ""move towards war"".

Thailand said 14 civilians and one soldier were killed in the fighting, while provincial authorities in Cambodia said at least one civilian in Oddar Meanchey was killed.

The comments came as both countries updated the death toll from the fighting.

But Thai foreign ministry spokesman Nikorndej Balankura told Reuters that the situation must be solved through bilateral means, adding that Phnom Penh must stop its offensive moves.

""I welcome the positive signals and willingness shown by both Bangkok and Phnom Penh to consider this path forward,"" Anwar wrote on Facebook late Thursday.

Malaysian Prime Minister Anwar Ibrahim, who chairs the Association of South East Asian Nations, or Asean, had earlier offered to facilitate talks between the two countries.

Meanwhile, Thailand's foreign minister told the Reuters news agency that there was ""no need"" for third-party mediation in the conflict, even as global leaders appealed for an immediate ceasefire.

The US has also called for an ""immediate cessation of hostilities, protection of civilians and a peaceful resolution of the conflict"".

""We are... gravely concerned by the escalating violence along the Thailand Cambodia border, and deeply saddened by reports of harm to civilians,"" State Department spokesman Tommy Pigott said at a regular media briefing.

China, which has political and strategic ties with Cambodia and Thailand, said it is ""deeply concerned"" over the conflict and hopes both sides can resolve issues through dialogue and consultation.

Australia, the European Union and France have also called for peace.

The United Nations Security Council is expected to meet on Friday over the conflict.

In a letter to the council on Thursday, Cambodia's Prime Minister Hun Manet had urged it to intervene to ""stop Thailand's aggression"".

Thailand and Cambodia have each accused the other of firing the first shots on Thursday.

Thailand claims the clash began with Cambodia's military deploying drones to conduct surveillance of Thai troops near the border.

Cambodia says Thai soldiers initiated the conflict when they violated a prior agreement by advancing on a Khmer-Hindu temple near the border.

The dispute between the two countries dates back to more than a hundred years ago, when the borders of the two nations were drawn after the French occupation of Cambodia.

There were sporadic clashes over the years which saw soldiers and civilians killed on both sides.

The latest tensions ramped up in May after a Cambodian soldier was killed in a clash. This plunged bilateral ties to their lowest point in more than a decade.

At a sports complex that was converted into an evacuation centre in Thailand's Surin province, evacuees - many of them children and elderly - said they were still shaken by the rocket and artillery attacks they witnessed on Thursday.

Older evacuees who had lived through bombardments during the Cambodian Civil War of the 1980s told the BBC the recent fighting was the worst they had experienced.

Joi Phasuwan, from the Phanom Dong Rak district, said she and her two grandchildren ""waited a long time"" before they finally got moved to the evacuation centre. They moved farther this time compared to past evacuations, she added.

Elsewhere, a small group of older men huddled around the entrance to a school about 10km (6.2 miles) from the border.

All the houses around them were deserted. The men stayed back to guard their homes and livestock, while all the women and children had been evacuated.

They stayed close to an improvised shelter, constructed last month from sections of concrete pipe and reinforced with sandbags and rows of sand-filled tires.

Artillery boomed across this small village all morning, and the Cambodian rocket attacks on Thursday unnerved the men.

The school was also being used by Thai soldiers, but they did not want to be filmed - nor did they want the school to be identified.

The roads were empty, apart from the occasional military lorry ferrying soldiers. Passing through village after village, there was no-one to be seen.

Life all along this border region has been brought to a halt by a dispute over a few old temples and some insignificant strips of forested land.

Additional reporting by Lulu Luo in Surin",confidence_weighted,True,True,5108
4_adaptive,72687c4664f0425b,4,https://www.bbc.com/news/articles/ce9xkg7dmd5o,School-leavers losing their lives for Russia in Putin's war with Ukraine,"School-leavers losing their lives for Russia in Putin's war with Ukraine

5 hours ago Share Save Anastasia Platonova & Olga Ivshina BBC News Russian Share Save

VK/BBC Alexander (L) and Vitaly died not long after they arrived on the frontline in February

Vladimir Putin has repeatedly promised that no 18-year-olds called up to serve Russia will be sent to fight in Ukraine, but a BBC Russian investigation has found at least 245 soldiers of that age have been killed there in the past two years. New government rules mean teenagers fresh out of school have been able to bypass military service and go straight into the regular army as contract soldiers. They may make up only a fraction of Russian losses, but cash bonuses and patriotic propaganda have made signing up an attractive choice. Alexander Petlinsky enlisted two weeks after his 18th birthday. He was killed in Ukraine just 20 days later: one of hundreds of thousands of soldiers killed in Russia's full-scale war in Ukraine which has also claimed the lives of at least 13,500 Ukrainian civilians since Putin launched the invasion in February 2022.

Petlinsky's aunt Ekaterina said he had dreamed of a career in medicine and won a place at a medical college in Chelyabinsk, an industrial regional centre in the Urals. ""But Sasha had another dream,"" she told a school memorial event. ""When the special military operation began, Sasha was 15. And he dreamed of going to the front."" In Ukraine, the call-up age is 25. Russia has managed to avoid a national mobilisation by offering lavish sums to men of fighting age - an especially attractive deal for those in poorer regions with few job prospects. Initially, men had to have at least three months of conscript service under their belts before signing a contract. That restriction was quietly dropped in April 2023, despite protests from some MPs, so now any young man who has reached the age of 18 and finished school can sign up to join the army. Russia's education system has ensured they are ready to enlist.

Alexander Petlinsky/VK Alexander Petlinsky had always intended to become a doctor but signed an army contract as soon as he turned 18

Since the full-scale invasion began, teachers have been required by law to hold classes dedicated to the ""special military operation"", as the war is officially known. Soldiers returning from the front visit schools to talk about their experiences, children are taught how to make camouflage nets and trench candles, and even nursery school pupils are encouraged to send letters and drawings to the frontline. At the start of the last school year on 1 September 2024, a new subject was brought into the curriculum. In a throwback to the Soviet era, senior students are once again being taught how to use Kalashnikov rifles and hand grenades as part of a course called ""The Basics of Safety and Homeland Defence"". In many regions, military recruiters now attend careers lessons in schools and technical colleges, telling young people how to sign up as contract soldiers after they graduate. Vitaly Ivanov grew up in a small village in Siberia and dropped out of college where he was learning to be a mechanic. He got into trouble with police, and when he was accused of robbing a small shop in November 2024, he complained to his mother and girlfriend he had been beaten into giving a confession.

Vitaly Ivanov/VK Vitaly Ivanov complained he had been beaten into confessing to a robbery

His friend Mikhail told the BBC that Vitaly had always planned to do his military service when he turned 18. Then, together, they would go and find work building roads in Kazan, ​​a city about 3,700km (2,300 miles) to the west. Instead, he signed a contract to join the army. His family have not ruled out that it was the police who ""persuaded"" him. The day before he left he called his mother, Anna, to say he was about to leave. ""I'm off to the North-Eastern Military District,"" he explained. In other words, he was heading for Ukraine. He and Alexander reached the frontline at about the same time in February. Vitaly's last message home on 5 February was to say he was being sent into combat. ""This was his first and last combat mission,"" says Anna. The enlistment office rang her a month later to say he had died on 11 February.

As part of BBC Russian's ongoing project using open sources to count Russia's war dead, we have identified and confirmed 245 names of 18-year-old contract soldiers killed in Ukraine between April 2023 - when the rules for joining up were eased - and July 2025. All were enlisted as contract servicemen and, judging from published obituaries, most joined the armed forces voluntarily. Overall, according to our research, since the start of the full-scale invasion at least 2,812 Russian men aged 18-20 years have been killed in Ukraine. The BBC's figures are based on open-source information and because not every death is publicly reported, the real losses are bound to be higher. By late July the BBC had established the names of 120,343 Russian soldiers killed during the full-scale war. Military experts estimate that makes up 45-65% of the real death toll, which would equate to 185,143 to 267,500 dead.",adaptive,True,True,5190
4_confidence_weighted,72687c4664f0425b,4,https://www.bbc.com/news/articles/ce9xkg7dmd5o,School-leavers losing their lives for Russia in Putin's war with Ukraine,"School-leavers losing their lives for Russia in Putin's war with Ukraine

5 hours ago Share Save Anastasia Platonova & Olga Ivshina BBC News Russian Share Save

VK/BBC Alexander (L) and Vitaly died not long after they arrived on the frontline in February

Vladimir Putin has repeatedly promised that no 18-year-olds called up to serve Russia will be sent to fight in Ukraine, but a BBC Russian investigation has found at least 245 soldiers of that age have been killed there in the past two years. New government rules mean teenagers fresh out of school have been able to bypass military service and go straight into the regular army as contract soldiers. They may make up only a fraction of Russian losses, but cash bonuses and patriotic propaganda have made signing up an attractive choice. Alexander Petlinsky enlisted two weeks after his 18th birthday. He was killed in Ukraine just 20 days later: one of hundreds of thousands of soldiers killed in Russia's full-scale war in Ukraine which has also claimed the lives of at least 13,500 Ukrainian civilians since Putin launched the invasion in February 2022.

Petlinsky's aunt Ekaterina said he had dreamed of a career in medicine and won a place at a medical college in Chelyabinsk, an industrial regional centre in the Urals. ""But Sasha had another dream,"" she told a school memorial event. ""When the special military operation began, Sasha was 15. And he dreamed of going to the front."" In Ukraine, the call-up age is 25. Russia has managed to avoid a national mobilisation by offering lavish sums to men of fighting age - an especially attractive deal for those in poorer regions with few job prospects. Initially, men had to have at least three months of conscript service under their belts before signing a contract. That restriction was quietly dropped in April 2023, despite protests from some MPs, so now any young man who has reached the age of 18 and finished school can sign up to join the army. Russia's education system has ensured they are ready to enlist.

Alexander Petlinsky/VK Alexander Petlinsky had always intended to become a doctor but signed an army contract as soon as he turned 18

Since the full-scale invasion began, teachers have been required by law to hold classes dedicated to the ""special military operation"", as the war is officially known. Soldiers returning from the front visit schools to talk about their experiences, children are taught how to make camouflage nets and trench candles, and even nursery school pupils are encouraged to send letters and drawings to the frontline. At the start of the last school year on 1 September 2024, a new subject was brought into the curriculum. In a throwback to the Soviet era, senior students are once again being taught how to use Kalashnikov rifles and hand grenades as part of a course called ""The Basics of Safety and Homeland Defence"". In many regions, military recruiters now attend careers lessons in schools and technical colleges, telling young people how to sign up as contract soldiers after they graduate. Vitaly Ivanov grew up in a small village in Siberia and dropped out of college where he was learning to be a mechanic. He got into trouble with police, and when he was accused of robbing a small shop in November 2024, he complained to his mother and girlfriend he had been beaten into giving a confession.

Vitaly Ivanov/VK Vitaly Ivanov complained he had been beaten into confessing to a robbery

His friend Mikhail told the BBC that Vitaly had always planned to do his military service when he turned 18. Then, together, they would go and find work building roads in Kazan, ​​a city about 3,700km (2,300 miles) to the west. Instead, he signed a contract to join the army. His family have not ruled out that it was the police who ""persuaded"" him. The day before he left he called his mother, Anna, to say he was about to leave. ""I'm off to the North-Eastern Military District,"" he explained. In other words, he was heading for Ukraine. He and Alexander reached the frontline at about the same time in February. Vitaly's last message home on 5 February was to say he was being sent into combat. ""This was his first and last combat mission,"" says Anna. The enlistment office rang her a month later to say he had died on 11 February.

As part of BBC Russian's ongoing project using open sources to count Russia's war dead, we have identified and confirmed 245 names of 18-year-old contract soldiers killed in Ukraine between April 2023 - when the rules for joining up were eased - and July 2025. All were enlisted as contract servicemen and, judging from published obituaries, most joined the armed forces voluntarily. Overall, according to our research, since the start of the full-scale invasion at least 2,812 Russian men aged 18-20 years have been killed in Ukraine. The BBC's figures are based on open-source information and because not every death is publicly reported, the real losses are bound to be higher. By late July the BBC had established the names of 120,343 Russian soldiers killed during the full-scale war. Military experts estimate that makes up 45-65% of the real death toll, which would equate to 185,143 to 267,500 dead.",confidence_weighted,True,True,5190
5_adaptive,09da9397c8247ed8,5,https://www.bbc.com/news/articles/cn8185e19l4o,Taiwan holds controversial vote targeting 'pro-China' lawmakers,"Taiwan holds controversial vote targeting 'pro-China' lawmakers

8 hours ago Share Save Tessa Wong BBC News, Asia Digital Reporter Share Save

BBC / Tessa Wong Several of the Kuomintang lawmakers facing the recall vote appeared at an anti-recall rally last weekend

Thousands of Taiwanese are heading to the polls in an unprecedented and controversial vote aimed at ousting lawmakers accused of being too close to China. More than 30 lawmakers have been targeted in the ""dabamian"", or Great Recall vote, initiated by a civic movement. The vote has the potential to alter the balance of power in Taiwan, which has seen months of political deadlock between the Democratic Progressive Party (DPP) government and the legislature dominated by the opposition Kuomintang and its allies. The issue has deeply divided Taiwanese society, which has seen large rallies and fierce debate. Both pro-recall and anti-recall activists claim to be fighting for Taiwan's democracy.

The movement around the recall vote began with elections in January 2024, when voters chose the DPP's William Lai as their president but gave the opposition the dominant presence in the parliamentary Legislative Yuan. In the following months, the main opposition party Kuomintang worked together with the smaller Taiwan People's Party and independents to block DPP bills and pass controversial pieces of legislation. These moves angered some Taiwanese, who saw these as attempts to stymie the DPP government while strengthening the opposition's parliamentary power.

In May 2024, thousands began holding protests in what became known as the Bluebird movement, partially named after the Taipei street where many had gathered. Many in the movement believe the opposition, led by the Kuomintang which is known for its relatively friendlier position on China, is being influenced by Beijing and secretly pushing China's agenda in Taiwan's legislature. The party has denied this, but suspicion grew when a group of Kuomintang lawmakers visited China last year and were welcomed by top-ranking Chinese Communist Party official Wang Huning. Civic groups in the Bluebird movement launched petitions to oust various Kuomintang lawmakers, while Kuomintang supporters retaliated by doing the same to some DPP lawmakers. So far, petitions for 31 lawmakers' seats have received enough preliminary support to proceed with a final recall vote. All these seats are held by the Kuomintang - and if enough are successfully recalled, it could mean the DPP eventually gains the majority in the legislature. While Taiwan has held recall votes before, it has never seen so many within such a short space of time.

Getty Images Many protesters in the Bluebird movement believe the Kuomintang lawmakers are pushing China's agenda in Taiwan's legislature",adaptive,True,True,2793
5_confidence_weighted,09da9397c8247ed8,5,https://www.bbc.com/news/articles/cn8185e19l4o,Taiwan holds controversial vote targeting 'pro-China' lawmakers,"Taiwan holds controversial vote targeting 'pro-China' lawmakers

8 hours ago Share Save Tessa Wong BBC News, Asia Digital Reporter Share Save

BBC / Tessa Wong Several of the Kuomintang lawmakers facing the recall vote appeared at an anti-recall rally last weekend

Thousands of Taiwanese are heading to the polls in an unprecedented and controversial vote aimed at ousting lawmakers accused of being too close to China. More than 30 lawmakers have been targeted in the ""dabamian"", or Great Recall vote, initiated by a civic movement. The vote has the potential to alter the balance of power in Taiwan, which has seen months of political deadlock between the Democratic Progressive Party (DPP) government and the legislature dominated by the opposition Kuomintang and its allies. The issue has deeply divided Taiwanese society, which has seen large rallies and fierce debate. Both pro-recall and anti-recall activists claim to be fighting for Taiwan's democracy.

The movement around the recall vote began with elections in January 2024, when voters chose the DPP's William Lai as their president but gave the opposition the dominant presence in the parliamentary Legislative Yuan. In the following months, the main opposition party Kuomintang worked together with the smaller Taiwan People's Party and independents to block DPP bills and pass controversial pieces of legislation. These moves angered some Taiwanese, who saw these as attempts to stymie the DPP government while strengthening the opposition's parliamentary power.

In May 2024, thousands began holding protests in what became known as the Bluebird movement, partially named after the Taipei street where many had gathered. Many in the movement believe the opposition, led by the Kuomintang which is known for its relatively friendlier position on China, is being influenced by Beijing and secretly pushing China's agenda in Taiwan's legislature. The party has denied this, but suspicion grew when a group of Kuomintang lawmakers visited China last year and were welcomed by top-ranking Chinese Communist Party official Wang Huning. Civic groups in the Bluebird movement launched petitions to oust various Kuomintang lawmakers, while Kuomintang supporters retaliated by doing the same to some DPP lawmakers. So far, petitions for 31 lawmakers' seats have received enough preliminary support to proceed with a final recall vote. All these seats are held by the Kuomintang - and if enough are successfully recalled, it could mean the DPP eventually gains the majority in the legislature. While Taiwan has held recall votes before, it has never seen so many within such a short space of time.

Getty Images Many protesters in the Bluebird movement believe the Kuomintang lawmakers are pushing China's agenda in Taiwan's legislature",confidence_weighted,True,True,2793
